N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency,THI,NBR,WAI,PP,SFI,expected_total_resource_needs
90,42,43,20.87974371,0.8200274423,6.502985292,202.9355362,rice,0.2944606392482905,2,8.67735526697563,10.109875244575116,435.611225664072,0.03121394502259622,4,11.743910096203432,57.60730813596583,188.19495775411988,1,2.7196142681382094,3,95.6499853668432,1.1932932982959272,68.41736262927081,0.4666666666666667,15.443898711180735,0.34512143895822567,0.35249711560180774,93.78999097764752
85,58,41,21.77046169,0.8031964408000001,7.038096361,226.6555374,rice,0.12851182636936995,3,5.754287955222303,12.048049798316915,401.45185974634256,0.02142020928535281,4,16.797101236780506,74.73687900741903,70.96362942364794,1,4.714427327225068,2,77.26569365523096,1.7526716815799783,69.73629794846076,0.4823529411764706,16.74828208433627,0.29066802165327144,0.36971361674282827,36.03681637540624
60,55,44,23.00445915,0.8232076290000001,7.840207144,263.9642476,rice,0.2936391289105482,2,9.875230096038331,9.05134891346406,357.4179627074981,0.014749737247687815,1,12.654394579097698,1.034478009144435,191.97607728111197,1,30.43173647520732,2,18.192167864978813,3.035541019903109,71.88682373569885,0.7333333333333333,18.140880841526545,0.3538108435701813,0.31917997897981504,96.53871551798255
74,35,40,26.49109635,0.8015836264,6.980400905,242.8640342,rice,0.2620773239299878,3,8.023684684293785,7.963606057288741,363.6943055002588,0.08393907171864402,1,10.864360184826303,24.09188793478396,55.76138848397649,3,10.861071276483274,3,82.81872017326596,1.2733406458545562,77.28490193938481,0.47297297297297297,14.807423911408993,0.33387231404770235,0.3047151257374915,28.241917578620512
78,42,42,20.13017482,0.8160487286999999,7.628472891,262.7173405,rice,0.28236236135835613,2,8.12051188272924,19.264133422858432,410.35645777701023,0.05202285434682235,3,13.852910054226465,38.811481435085696,185.25970154082896,2,47.19077674711596,3,25.466498927055326,2.578671084995216,67.18024173308976,0.5384615384615384,20.663600483219593,0.31755625388385994,0.3281618283477459,93.01041577869798
69,37,42,23.05804872,0.8337011771999999,7.073453503,251.0549998,rice,0.2361311519614218,3,10.873767569219408,2.728812124554161,428.7284296936261,0.05958483178119839,5,13.478474458070083,82.07341331570409,135.92906584189868,3,42.15873477813557,3,43.42633430045652,1.7536156668614868,72.06466438611895,0.5362318840579711,17.060386224326734,0.3954827970903187,0.30076678654249583,68.20617373116943
69,55,38,22.70883798,0.8263941394,5.70080568,271.3248604,rice,0.15333693105308976,2,8.726839860577611,4.715023586814744,398.3170075705707,0.07389915833434774,1,13.487610448270203,48.81462557502119,121.1736596015814,1,1.592171825417832,3,50.01897066431516,3.171514124476316,71.43344539589613,0.5507246376811594,18.867994671360876,0.35323497052114433,0.32991193266674784,61.5586894802741
94,53,40,20.27774362,0.8289408618999999,5.718627178,241.9741949,rice,0.20835640482532128,3,10.719887142177978,6.627556793662457,379.8472815222341,0.012420726896565475,4,8.63078182173721,80.12783103951577,195.7361604567481,1,14.415279885864967,1,18.08996232939174,3.1795385786845385,67.49449675839003,0.425531914893617,18.48623754436105,0.34081229348265957,0.3749936581517253,98.50409148396047
89,54,38,24.51588066,0.835352163,6.685346424,230.4462359,rice,0.2664065576840069,2,11.600185637716663,7.309391590701411,446.3333843786954,0.08821774607066256,2,11.260104812933562,89.87019212181914,73.44697633488323,3,48.13877175140959,3,98.37740877207062,1.5309800787118886,74.46302731798087,0.42696629213483145,14.787692923587656,0.4174164561802048,0.36905741968565303,37.13455744465087
68,58,38,23.22397386,0.8303322690999999,6.336253525,221.2091958,rice,0.24368852917432807,3,6.413153902771772,15.395845984336622,377.3990151601595,0.0424170639150573,1,11.88543252673378,26.5442576049046,72.79170148098056,1,45.647152908162894,2,63.33575198203821,4.586856058247635,72.30600932565288,0.5588235294117647,15.420263256817348,0.30815752859098366,0.3313933651132046,38.308799125859714
91,53,40,26.52723513,0.8141753846,5.386167788,264.6148697,rice,0.20459145741082907,2,6.43288482293385,18.241282308646483,397.4717144170916,0.07686282485746422,3,19.80376704152053,43.0149813897197,88.35389727182411,1,25.44276360101112,3,0.8030068386047917,1.4760491681677208,77.49548443010238,0.43956043956043955,16.184107710267867,0.3169310073682371,0.3741490259885972,44.49734743862779
